RL;PREMIER_ROMAN;EAN;titre;auteur;TYPES;GENRE;Editeur;PAYS;latitude;longitude;CONTINENT;Traduit de;Traduit par;Date de parution;MOIS;ANNEE_PUBLICATION;url;categorie;prix_gf;prix_ebook;couverture;caracteristiques;ISBN;Format;Présentation;Nb. de pages;Poids;Dimensions;Collection
RL;NON;9782889072460.0;Le vieil incendie- Grand Format;Elisa Shua Dusapin;Romans français;F;Editions Zoé;FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-22;August;2023.0;https://www.decitre.fr/livres/le-vieil-incendie-9782889072460.html;['Livres', 'Littérature', 'Romans'];16,50 €;9,99 €;https://products-images.di-static.com/image/elisa-shua-dusapin-le-vieil-incendie/9782889072460-45x70-1.webp 1x,https://products-images.di-static.com/image/elisa-shua-dusapin-le-vieil-incendie/9782889072460-45x70-2.webp 2x;Date de parution|22/08/2023|Editeur|Editions Zoé|Collection|Domaine français|ISBN|978-2-88907-246-0|EAN|9782889072460|Format|Grand Format|Présentation|Broché|Nb. de pages|139 pages|Poids|0.194 Kg|Dimensions|14,1 cm × 21,2 cm × 0,8 cm;978-2-88907-246-0;Grand Format;Broché;139 pages;0.194 Kg;14,1 cm × 21,2 cm × 0,8 cm;Domaine français
RL;NON;9782494463059.0;Le caprice de vivre- Grand Format;Jadd Hilal;Romans français;M;Elyzad;FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-22;August;2023.0;https://www.decitre.fr/livres/le-caprice-de-vivre-9782494463059.html;['Livres', 'Littérature', 'Romans'];21,00 €;pas de prix ebook;https://products-images.di-static.com/image/jadd-hilal-le-caprice-de-vivre/9782494463059-475x500-1.webp 1x,https://products-images.di-static.com/image/jadd-hilal-le-caprice-de-vivre/9782494463059-475x500-2.webp 2x;Date de parution|22/08/2023|Editeur|Elyzad|ISBN|978-2-494463-05-9|EAN|9782494463059|Format|Grand Format|Présentation|Broché|Nb. de pages|211 pages|Poids|0.246 Kg|Dimensions|12,0 cm × 20,5 cm × 1,8 cm;978-2-494463-05-9;Grand Format;Broché;211 pages;0.246 Kg;12,0 cm × 20,5 cm × 1,8 cm;
;NAN;9791035970949.0;D'ici ou d'ailleurs- Grand Format;Gabrielle Desabers;;;Bookelis;NAN;46.3144754;11.0480288;NAN;;;2023-08-21;August;2023.0;https://www.decitre.fr/livre-pod/d-ici-ou-d-ailleurs-9791035970949.html;['Livres', 'Littérature', 'Romans'];18,00 €;pas de prix ebook;https://products-images.di-static.com/image/hachette-d-ici-ou-d-ailleurs/9791035970949-475x500-1.webp 1x,https://products-images.di-static.com/image/hachette-d-ici-ou-d-ailleurs/9791035970949-475x500-2.webp 2x;Date de parution|21/08/2023|Editeur|Bookelis|ISBN|979-10-359-7094-9|EAN|9791035970949|Format|Grand Format|Présentation|Broché|Nb. de pages|342 pages|Poids|0.411 Kg|Dimensions|14,8 cm × 21,0 cm × 0,0 cm;979-10-359-7094-9;Grand Format;Broché;342 pages;0.411 Kg;14,8 cm × 21,0 cm × 0,0 cm;
;NAN;9782916830261.0;La pierre de Tanit  - Le mystère de Rochevilaine- Grand Format;Jean-Marc Cosset;;;Editions de la Neva;NAN;46.3144754;11.0480288;NAN;;;2023-08-21;August;2023.0;https://www.decitre.fr/livre-pod/la-pierre-de-tanit-9782916830261.html;['Livres', 'Littérature', 'Romans'];15,00 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-la-pierre-de-tanit/9782916830261-475x500-1.webp 1x,https://products-images.di-static.com/image/sodis-la-pierre-de-tanit/9782916830261-475x500-2.webp 2x;Date de parution|21/08/2023|Editeur|Editions de la Neva|ISBN|978-2-916830-26-1|EAN|9782916830261|Format|Grand Format|Présentation|Broché|Nb. de pages|184 pages|Poids|0.275 Kg|Dimensions|14,8 cm × 21,0 cm × 1,2 cm;978-2-916830-26-1;Grand Format;Broché;184 pages;0.275 Kg;14,8 cm × 21,0 cm × 1,2 cm;
;NAN;9791035984618.0;Née avant l'aube- Grand Format;Sandie Grillot;;;Bookelis;NAN;46.3144754;11.0480288;NAN;;;2023-08-21;August;2023.0;https://www.decitre.fr/livre-pod/nee-avant-l-aube-9791035984618.html;['Livres', 'Littérature', 'Romans'];28,00 €;pas de prix ebook;https://products-images.di-static.com/image/hachette-nee-avant-l-aube/9791035984618-475x500-1.webp 1x,https://products-images.di-static.com/image/hachette-nee-avant-l-aube/9791035984618-475x500-2.webp 2x;Date de parution|21/08/2023|Editeur|Bookelis|ISBN|979-10-359-8461-8|EAN|9791035984618|Format|Grand Format|Présentation|Broché|Nb. de pages|198 pages|Poids|0.289 Kg|Dimensions|15,6 cm × 23,4 cm × 0,0 cm;979-10-359-8461-8;Grand Format;Broché;198 pages;0.289 Kg;15,6 cm × 23,4 cm × 0,0 cm;
;NAN;9791042401030.0;L'albatros- Grand Format;Laurence Labbe;;;Bookelis;NAN;46.3144754;11.0480288;NAN;;;2023-08-21;August;2023.0;https://www.decitre.fr/livre-pod/l-albatros-9791042401030.html;['Livres', 'Littérature', 'Romans'];14,00 €;pas de prix ebook;https://products-images.di-static.com/image/hachette-l-albatros/9791042401030-475x500-1.webp 1x;Date de parution|21/08/2023|Editeur|Bookelis|ISBN|979-10-424-0103-0|EAN|9791042401030|Format|Grand Format|Présentation|Broché|Nb. de pages|200 pages|Poids|0.187 Kg|Dimensions|13,0 cm × 18,0 cm × 0,0 cm;979-10-424-0103-0;Grand Format;Broché;200 pages;0.187 Kg;13,0 cm × 18,0 cm × 0,0 cm;
;NAN;9782322500024.0;L'Empire de Générosix Tome 2- Grand Format;Laetitia Barrère;;;Books on Demand;NAN;46.3144754;11.0480288;NAN;;;2023-08-21;August;2023.0;https://www.decitre.fr/livre-pod/l-empire-de-generosix-tome-2-le-secret-d-horace-9782322500024.html;['Livres', 'Littérature', 'Romans'];17,50 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-l-empire-de-generosix-tome-2-le-secret-d-horace/9782322500024-475x500-1.webp 1x,https://products-images.di-static.com/image/sodis-l-empire-de-generosix-tome-2-le-secret-d-horace/9782322500024-475x500-2.webp 2x;Date de parution|21/08/2023|Editeur|Books on Demand|ISBN|978-2-322-50002-4|EAN|9782322500024|Format|Grand Format|Présentation|Broché|Nb. de pages|358 pages|Poids|0.381 Kg|Dimensions|12,0 cm × 19,0 cm × 2,3 cm;978-2-322-50002-4;Grand Format;Broché;358 pages;0.381 Kg;12,0 cm × 19,0 cm × 2,3 cm;
;NAN;9782414603138.0;Pour un gène de plus- Grand Format;Laurine Leost;;;Edilivre;NAN;46.3144754;11.0480288;NAN;;;2023-08-21;August;2023.0;https://www.decitre.fr/livre-pod/pour-un-gene-de-plus-9782414603138.html;['Livres', 'Littérature', 'Romans'];15,00 €;4,99 €;https://products-images.di-static.com/image/2tap-pour-un-gene-de-plus/9782414603138-45x70-1.webp 1x,https://products-images.di-static.com/image/2tap-pour-un-gene-de-plus/9782414603138-45x70-2.webp 2x;Date de parution|21/08/2023|Editeur|Edilivre|ISBN|978-2-414-60313-8|EAN|9782414603138|Format|Grand Format|Présentation|Broché|Nb. de pages|226 pages|Poids|0.321 Kg|Dimensions|14,8 cm × 21,0 cm × 1,8 cm;978-2-414-60313-8;Grand Format;Broché;226 pages;0.321 Kg;14,8 cm × 21,0 cm × 1,8 cm;
;NAN;9782414603855.0;Histoire d'un royaume sous l'influence d'un grand roi ou d'un illusionniste ?- Grand Format;FB du Bois Joli;;;Edilivre;NAN;46.3144754;11.0480288;NAN;;;2023-08-21;August;2023.0;https://www.decitre.fr/livre-pod/histoire-d-un-royaume-sous-l-influence-d-un-grand-roi-ou-d-un-illusionniste-9782414603855.html;['Livres', 'Littérature', 'Romans'];20,50 €;pas de prix ebook;https://products-images.di-static.com/image/2tap-histoire-d-un-royaume-sous-l-influence-d-un-grand-roi-ou-d-un-illusionniste/9782414603855-475x500-1.webp 1x;Date de parution|21/08/2023|Editeur|Edilivre|ISBN|978-2-414-60385-5|EAN|9782414603855|Format|Grand Format|Présentation|Broché|Nb. de pages|324 pages|Poids|0.443 Kg|Dimensions|14,8 cm × 21,0 cm × 2,5 cm;978-2-414-60385-5;Grand Format;Broché;324 pages;0.443 Kg;14,8 cm × 21,0 cm × 2,5 cm;
;NAN;9782414609857.0;Théo, le roi de la friperie- Grand Format;Adrien N'Dayegamiye;;;Edilivre;NAN;46.3144754;11.0480288;NAN;;;2023-08-21;August;2023.0;https://www.decitre.fr/livre-pod/theo-le-roi-de-la-friperie-9782414609857.html;['Livres', 'Littérature', 'Romans'];24,00 €;pas de prix ebook;https://products-images.di-static.com/image/2tap-theo-le-roi-de-la-friperie/9782414609857-475x500-1.webp 1x;Date de parution|21/08/2023|Editeur|Edilivre|ISBN|978-2-414-60985-7|EAN|9782414609857|Format|Grand Format|Présentation|Broché|Nb. de pages|422 pages|Poids|0.565 Kg|Dimensions|14,8 cm × 21,0 cm × 3,3 cm;978-2-414-60985-7;Grand Format;Broché;422 pages;0.565 Kg;14,8 cm × 21,0 cm × 3,3 cm;
;NAN;9782414613724.0;Dans les yeux d'Ibaka- Grand Format;Patricia Bouanga;;;Edilivre;NAN;46.3144754;11.0480288;NAN;;;2023-08-21;August;2023.0;https://www.decitre.fr/livre-pod/dans-les-yeux-d-ibaka-9782414613724.html;['Livres', 'Littérature', 'Romans'];11,00 €;4,99 €;https://products-images.di-static.com/image/2tap-dans-les-yeux-d-ibaka/9782414613724-45x70-1.webp 1x,https://products-images.di-static.com/image/2tap-dans-les-yeux-d-ibaka/9782414613724-45x70-2.webp 2x;Date de parution|21/08/2023|Editeur|Edilivre|ISBN|978-2-414-61372-4|EAN|9782414613724|Format|Grand Format|Présentation|Broché|Nb. de pages|82 pages|Poids|0.142 Kg|Dimensions|14,8 cm × 21,0 cm × 0,6 cm;978-2-414-61372-4;Grand Format;Broché;82 pages;0.142 Kg;14,8 cm × 21,0 cm × 0,6 cm;
;NAN;9782414614202.0;Des vies par le chemin des mots- Grand Format;Wanda Setti Morin;;;Edilivre;NAN;46.3144754;11.0480288;NAN;;;2023-08-21;August;2023.0;https://www.decitre.fr/livre-pod/des-vies-par-le-chemin-des-mots-9782414614202.html;['Livres', 'Littérature', 'Romans'];14,50 €;pas de prix ebook;https://products-images.di-static.com/image/2tap-des-vies-par-le-chemin-des-mots/9782414614202-475x500-1.webp 1x;Date de parution|21/08/2023|Editeur|Edilivre|ISBN|978-2-414-61420-2|EAN|9782414614202|Format|Grand Format|Présentation|Broché|Nb. de pages|130 pages|Poids|0.202 Kg|Dimensions|14,8 cm × 21,0 cm × 1,0 cm;978-2-414-61420-2;Grand Format;Broché;130 pages;0.202 Kg;14,8 cm × 21,0 cm × 1,0 cm;
;NAN;9782414614295.0;Salvatore Caria mon grand-père, et autres nouvelles- Grand Format;Anne-Marie Caria;;;Edilivre;NAN;46.3144754;11.0480288;NAN;;;2023-08-21;August;2023.0;https://www.decitre.fr/livre-pod/salvatore-caria-mon-grand-pere-et-autres-nouvelles-9782414614295.html;['Livres', 'Littérature', 'Romans'];11,00 €;pas de prix ebook;https://products-images.di-static.com/image/2tap-salvatore-caria-mon-grand-pere-et-autres-nouvelles/9782414614295-475x500-1.webp 1x;Date de parution|21/08/2023|Editeur|Edilivre|ISBN|978-2-414-61429-5|EAN|9782414614295|Format|Grand Format|Présentation|Broché|Nb. de pages|110 pages|Poids|0.177 Kg|Dimensions|14,8 cm × 21,0 cm × 0,9 cm;978-2-414-61429-5;Grand Format;Broché;110 pages;0.177 Kg;14,8 cm × 21,0 cm × 0,9 cm;
;NAN;9782322499694.0;Iris- Grand Format;Mélanie Silvestrin;;;Books on Demand;NAN;46.3144754;11.0480288;NAN;;;2023-08-20;August;2023.0;https://www.decitre.fr/livre-pod/iris-9782322499694.html;['Livres', 'Littérature', 'Romans'];12,90 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-iris/9782322499694-475x500-1.webp 1x,https://products-images.di-static.com/image/sodis-iris/9782322499694-475x500-2.webp 2x;Date de parution|20/08/2023|Editeur|Books on Demand|ISBN|978-2-322-49969-4|EAN|9782322499694|Format|Grand Format|Présentation|Broché|Nb. de pages|202 pages|Poids|0.281 Kg|Dimensions|13,5 cm × 21,5 cm × 1,3 cm;978-2-322-49969-4;Grand Format;Broché;202 pages;0.281 Kg;13,5 cm × 21,5 cm × 1,3 cm;
;NAN;9782322501236.0;Iris- Grand Format;Mélanie Silvestrin;;;Books on Demand;NAN;46.3144754;11.0480288;NAN;;;2023-08-20;August;2023.0;https://www.decitre.fr/livre-pod/iris-9782322501236.html;['Livres', 'Littérature', 'Romans'];12,90 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-iris/9782322499694-70x95-1.webp 1x,https://products-images.di-static.com/image/sodis-iris/9782322499694-70x95-2.webp 2x;Date de parution|20/08/2023|Editeur|Books on Demand|ISBN|978-2-322-50123-6|EAN|9782322501236|Format|Grand Format|Présentation|Broché|Nb. de pages|208 pages|Poids|0.288 Kg|Dimensions|13,5 cm × 21,5 cm × 1,3 cm;978-2-322-50123-6;Grand Format;Broché;208 pages;0.288 Kg;13,5 cm × 21,5 cm × 1,3 cm;
;NAN;9782322500987.0;Fictions bibliques Tome 2- Grand Format;Michel Théron;;;Books on Demand;NAN;46.3144754;11.0480288;NAN;;;2023-08-19;August;2023.0;https://www.decitre.fr/livre-pod/fictions-bibliques-tome-2-9782322500987.html;['Livres', 'Littérature', 'Romans'];14,00 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-fictions-bibliques-tome-2/9782322500987-475x500-1.webp 1x,https://products-images.di-static.com/image/sodis-fictions-bibliques-tome-2/9782322500987-475x500-2.webp 2x;Date de parution|19/08/2023|Editeur|Books on Demand|ISBN|978-2-322-50098-7|EAN|9782322500987|Format|Grand Format|Présentation|Broché|Nb. de pages|128 pages|Poids|0.144 Kg|Dimensions|12,0 cm × 19,0 cm × 0,8 cm;978-2-322-50098-7;Grand Format;Broché;128 pages;0.144 Kg;12,0 cm × 19,0 cm × 0,8 cm;
;NAN;9791037798305.0;Babette dans le rétro- Grand Format;Isabelle Marcot;;;Le Lys Bleu;NAN;46.3144754;11.0480288;NAN;;;2023-08-19;August;2023.0;https://www.decitre.fr/livre-pod/babette-dans-le-retro-9791037798305.html;['Livres', 'Littérature', 'Romans'];13,20 €;7,99 €;https://products-images.di-static.com/image/sodis-babette-dans-le-retro/9791037798305-45x70-1.webp 1x,https://products-images.di-static.com/image/sodis-babette-dans-le-retro/9791037798305-45x70-2.webp 2x;Date de parution|19/08/2023|Editeur|Le Lys Bleu|ISBN|979-10-377-9830-5|EAN|9791037798305|Format|Grand Format|Présentation|Broché|Nb. de pages|112 pages|Poids|0.157 Kg|Dimensions|14,8 cm × 21,0 cm × 0,6 cm;979-10-377-9830-5;Grand Format;Broché;112 pages;0.157 Kg;14,8 cm × 21,0 cm × 0,6 cm;
;NAN;9782322500673.0;Intime Conviction- Grand Format;Marie-Christine Martens;;;Books on Demand;NAN;46.3144754;11.0480288;NAN;;;2023-08-19;August;2023.0;https://www.decitre.fr/livre-pod/intime-conviction-9782322500673.html;['Livres', 'Littérature', 'Romans'];14,99 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-intime-conviction/9782322500673-475x500-1.webp 1x,https://products-images.di-static.com/image/sodis-intime-conviction/9782322500673-475x500-2.webp 2x;Date de parution|19/08/2023|Editeur|Books on Demand|ISBN|978-2-322-50067-3|EAN|9782322500673|Format|Grand Format|Présentation|Broché|Nb. de pages|264 pages|Poids|0.362 Kg|Dimensions|13,5 cm × 21,5 cm × 1,6 cm;978-2-322-50067-3;Grand Format;Broché;264 pages;0.362 Kg;13,5 cm × 21,5 cm × 1,6 cm;
;NAN;9782322500246.0;Korean Maknae Tome 1- Grand Format;Lydie Fassin Lamant;;;Books on Demand;NAN;46.3144754;11.0480288;NAN;;;2023-08-18;August;2023.0;https://www.decitre.fr/livre-pod/korean-maknae-tome-1-9782322500246.html;['Livres', 'Littérature', 'Romans'];9,99 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-korean-maknae-tome-1/9782322500246-475x500-1.webp 1x,https://products-images.di-static.com/image/sodis-korean-maknae-tome-1/9782322500246-475x500-2.webp 2x;Date de parution|18/08/2023|Editeur|Books on Demand|ISBN|978-2-322-50024-6|EAN|9782322500246|Format|Grand Format|Présentation|Broché|Nb. de pages|168 pages|Poids|0.253 Kg|Dimensions|14,8 cm × 21,0 cm × 1,1 cm;978-2-322-50024-6;Grand Format;Broché;168 pages;0.253 Kg;14,8 cm × 21,0 cm × 1,1 cm;
RL;PREMIER ROMAN;9782021523720.0;La propagandiste- Grand Format;Cécile Desprairies;Romans français;F;Seuil;FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-18;August;2023.0;https://www.decitre.fr/livres/la-propagandiste-9782021523720.html;['Livres', 'Littérature', 'Romans'];19,00 €;13,99 €;https://products-images.di-static.com/image/cecile-desprairies-la-propagandiste/9782021523720-45x70-1.webp 1x,https://products-images.di-static.com/image/cecile-desprairies-la-propagandiste/9782021523720-45x70-2.webp 2x;Date de parution|18/08/2023|Editeur|Seuil|Collection|Cadre rouge|ISBN|978-2-02-152372-0|EAN|9782021523720|Format|Grand Format|Présentation|Broché|Nb. de pages|216 pages|Poids|0.296 Kg|Dimensions|14,4 cm × 20,5 cm × 2,5 cm;978-2-02-152372-0;Grand Format;Broché;216 pages;0.296 Kg;14,4 cm × 20,5 cm × 2,5 cm;Cadre rouge
RL;NON;9782364687431.0;Bain de boue- Grand Format;Ars O';Romans français;M;Sous-sol (Editions du);FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-18;August;2023.0;https://www.decitre.fr/livres/bain-de-boue-9782364687431.html;['Livres', 'Littérature', 'Romans'];19,50 €;13,99 €;https://products-images.di-static.com/image/ars-o--bain-de-boue/9782364687431-45x70-1.webp 1x,https://products-images.di-static.com/image/ars-o--bain-de-boue/9782364687431-45x70-2.webp 2x;Date de parution|18/08/2023|Editeur|Sous-sol (Editions du)|ISBN|978-2-36468-743-1|EAN|9782364687431|Format|Grand Format|Présentation|Broché|Nb. de pages|252 pages|Poids|0.282 Kg|Dimensions|14,1 cm × 20,4 cm × 2,1 cm;978-2-36468-743-1;Grand Format;Broché;252 pages;0.282 Kg;14,1 cm × 20,4 cm × 2,1 cm;
RL;NON;9782889550807.0;Le bonnet rouge- Grand Format;Daniel de Roulet;Romans français;M;Héros-Limite;FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-18;August;2023.0;https://www.decitre.fr/livres/le-bonnet-rouge-9782889550807.html;['Livres', 'Littérature', 'Romans'];18,00 €;pas de prix ebook;https://products-images.di-static.com/image/daniel-de-roulet-le-bonnet-rouge/9782889550807-475x500-1.webp 1x,https://products-images.di-static.com/image/daniel-de-roulet-le-bonnet-rouge/9782889550807-475x500-2.webp 2x;Date de parution|18/08/2023|Editeur|Héros-Limite|ISBN|978-2-88955-080-7|EAN|9782889550807|Format|Grand Format|Présentation|Broché|Nb. de pages|154 pages|Poids|0.172 Kg|Dimensions|12,0 cm × 20,0 cm × 1,4 cm;978-2-88955-080-7;Grand Format;Broché;154 pages;0.172 Kg;12,0 cm × 20,0 cm × 1,4 cm;
;NAN;9782251454481.0;L'auberge volante- Grand Format;G.k. Chesterton;;;Belles Lettres;NAN;46.3144754;11.0480288;NAN;;;2023-08-18;August;2023.0;https://www.decitre.fr/livres/l-auberge-volante-9782251454481.html;['Livres', 'Littérature', 'Romans'];13,90 €;9,99 €;https://products-images.di-static.com/image/g-k-chesterton-l-auberge-volante/9782251454481-45x70-1.webp 1x,https://products-images.di-static.com/image/g-k-chesterton-l-auberge-volante/9782251454481-45x70-2.webp 2x;Date de parution|18/08/2023|Editeur|Belles Lettres|Collection|Domaine étranger|ISBN|978-2-251-45448-1|EAN|9782251454481|Format|Grand Format|Présentation|Broché|Nb. de pages|325 pages|Poids|0.328 Kg|Dimensions|12,5 cm × 19,0 cm × 1,9 cm;978-2-251-45448-1;Grand Format;Broché;325 pages;0.328 Kg;12,5 cm × 19,0 cm × 1,9 cm;Domaine étranger
;NAN;9782381980577.0;Ecrits pour la parole- Grand Format;Léonora Miano;;;L'Arche;NAN;46.3144754;11.0480288;NAN;;;2023-08-18;August;2023.0;https://www.decitre.fr/livres/ecrits-pour-la-parole-9782381980577.html;['Livres', 'Littérature', 'Romans'];14,50 €;pas de prix ebook;https://products-images.di-static.com/image/leonora-miano-ecrits-pour-la-parole/9782381980577-45x70-1.webp 1x,https://products-images.di-static.com/image/leonora-miano-ecrits-pour-la-parole/9782381980577-45x70-2.webp 2x;Date de parution|18/08/2023|Editeur|L'Arche|Collection|Des écrits pour la parole|ISBN|978-2-38198-057-7|EAN|9782381980577|Format|Grand Format|Présentation|Broché|Nb. de pages|92 pages|Poids|0.136 Kg|Dimensions|13,5 cm × 21,1 cm × 0,8 cm;978-2-38198-057-7;Grand Format;Broché;92 pages;0.136 Kg;13,5 cm × 21,1 cm × 0,8 cm;Des écrits pour la parole
RL;PREMIER ROMAN;9782021496864.0;Ghost Town- Grand Format;Kevin Chen;Romans étrangers;M;Seuil;TAIWAN;23.5983227;120.83537694479216;ASIA;CHINOIS;Emmanuelle Péchenart;2023-08-18;August;2023.0;https://www.decitre.fr/livres/ghost-town-9782021496864.html;['Livres', 'Littérature', 'Romans'];23,00 €;16,99 €;https://products-images.di-static.com/image/kevin-chen-ghost-town/9782021496864-45x70-1.webp 1x,https://products-images.di-static.com/image/kevin-chen-ghost-town/9782021496864-45x70-2.webp 2x;Date de parution|18/08/2023|Editeur|Seuil|Collection|Cadre vert|ISBN|978-2-02-149686-4|EAN|9782021496864|Format|Grand Format|Présentation|Broché|Nb. de pages|421 pages|Poids|0.495 Kg|Dimensions|14,7 cm × 22,0 cm × 2,8 cm;978-2-02-149686-4;Grand Format;Broché;421 pages;0.495 Kg;14,7 cm × 22,0 cm × 2,8 cm;Cadre vert
RL;NON;9782493213310.0;Que notre joie demeure- Grand Format;Kevin Lambert;Romans français;M;le Nouvel Attila;FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-18;August;2023.0;https://www.decitre.fr/livres/que-notre-joie-demeure-9782493213310.html;['Livres', 'Littérature', 'Romans'];19,50 €;13,99 €;https://products-images.di-static.com/image/kevin-lambert-que-notre-joie-demeure/9782493213310-45x70-1.webp 1x,https://products-images.di-static.com/image/kevin-lambert-que-notre-joie-demeure/9782493213310-45x70-2.webp 2x;Date de parution|18/08/2023|Editeur|le Nouvel Attila|Collection|Incipit|ISBN|978-2-493213-31-0|EAN|9782493213310|Format|Grand Format|Présentation|Broché|Nb. de pages|360 pages|Poids|0.395 Kg|Dimensions|14,0 cm × 20,0 cm × 2,5 cm;978-2-493213-31-0;Grand Format;Broché;360 pages;0.395 Kg;14,0 cm × 20,0 cm × 2,5 cm;Incipit
